Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-4.64539370e-03, 1.20504141e+01, 5.52614629e-02, -9.99999978e-03, -2.49936171e-02, -9.37998574e-03
-4.64619650e-03, 1.20502157e+01, 5.52629121e-02, -9.99999978e-03, -2.49955915e-02, -9.37994570e-03
-4.64581791e-03, 1.20504580e+01, 5.52329384e-02, -9.99999978e-03, -2.49951426e-02, -9.37896129e-03
-2.78075051e-04, 1.29298401e+01, -3.06325208e-04, -9.99999978e-03, -1.29595706e-02, -8.00583325e-03
-3.63130053e-03, 1.23372803e+01, 3.83625850e-02, -9.99999978e-03, -1.97017770e-02, -9.38080810e-03
-3.63130053e-03, 1.23372803e+01, 3.83625850e-02, -9.99999978e-03, -1.97017770e-02, -9.38080810e-03
-2.68202387e-02, 1.18167744e+01, 1.04541483e-03, -9.99999978e-03, -3.04130148e-02, -7.88026117e-03
-2.72523016e-02, 1.18079920e+01, 1.52565655e-03, -9.99999978e-03, -3.04486398e-02, -7.91640859e-03
1.60709809e-04, 1.26434174e+01, -9.88982152e-04, -9.99999978e-03, -1.97143890e-02, -8.07522237e-03
1.55699367e-04, 1.26444235e+01, -1.15759647e-03, -9.99999978e-03, -1.97029449e-02, -8.07106122e-03
2.30115070e-03, 1.28895912e+01, -1.30624073e-02, -9.99999978e-03, -1.13338763e-02, -7.12924544e-03
2.29259790e-03, 1.28905630e+01, -1.29602412e-02, -9.99999978e-03, -1.12904664e-02, -7.13419123e-03
-7.72225205e-04, 1.29504833e+01, 2.93287588e-03, -9.99999978e-03, -1.15454849e-02, -8.30478780e-03
-2.65074964e-03, 1.26338253e+01, 2.10149009e-02, -9.99999978e-03, -1.84844602e-02, -8.84610042e-03
-2.79829837e-03, 1.26385517e+01, 2.07200758e-02, -9.99999978e-03, -1.84337962e-02, -8.83441232e-03
-2.40041129e-03, 1.26476622e+01, 1.98386721e-02, -9.99999978e-03, -1.84643827e-02, -8.79386626e-03
-2.67169159e-03, 1.26262388e+01, 2.12619565e-02, -9.99999978e-03, -1.84116345e-02, -8.86538997e-03
-1.68752950e-03, 1.24326458e+01, 3.23975794e-02, -9.99999978e-03, -2.04210915e-02, -9.06887837e-03
-6.06658403e-04, 1.24622478e+01, 3.15191969e-02, -9.99999978e-03, -2.08802354e-02, -8.96129943e-03
-2.96986266e-03, 1.22980919e+01, 4.14748117e-02, -9.99999978e-03, -2.05848105e-02, -9.36380681e-03
5.86725830e-04, 1.27807531e+01, 9.19960148e-04, -9.99999978e-03, -1.71568580e-02, -8.06122925e-03
-2.83274287e-03, 1.25999222e+01, 2.28922460e-02, -9.99999978e-03, -1.85216591e-02, -8.91152024e-03
-3.20588634e-03, 1.24646959e+01, 2.97438391e-02, -9.99999978e-03, -1.79357044e-02, -9.38080810e-03
-3.20588634e-03, 1.24646959e+01, 2.97438391e-02, -9.99999978e-03, -1.79357044e-02, -9.38080810e-03
-3.20588634e-03, 1.24646959e+01, 2.97438391e-02, -9.99999978e-03, -1.79357044e-02, -9.38080810e-03
5.66921616e-03, 1.13255730e+01, -1.87159888e-02, -9.99999978e-03, -3.27556394e-02, -7.91182183e-03
